1.	amu	Damu	amu	Damu
4.897788193684462	2.0697170616301217e-10	2.3032766561945836e-10	1.9185436834084376e-10	2.3032766561945836e-10
5.248074602497725	2.2178419248508378e-10	2.3032058928365552e-10	2.0452491026404777e-10	2.3032058928365552e-10
5.623413251903491	2.3766147934804887e-10	2.3031427058004787e-10	2.1796234039628106e-10	2.3031427058004787e-10
6.025595860743578	2.546792410313067e-10	2.3030859225360677e-10	2.3220230556702349e-10	2.3030859225360677e-10
6.456542290346556	2.7291868204786985e-10	2.303034546775111e-10	2.47280886310707e-10	2.303034546775111e-10
6.918309709189364	2.924669260197768e-10	2.302987730447318e-10	2.6323439390946035e-10	2.302987730447318e-10
7.413102413009175	3.134174363557917e-10	2.302944750822596e-10	2.800991411766813e-10	2.302944750822596e-10
7.943282347242816	3.3587047088235446e-10	2.3029049918389168e-10	2.979111853470189e-10	2.3029049918389168e-10
8.511380382023766	3.5993357294500053e-10	2.302867928758715e-10	3.1670604186596475e-10	2.302867928758715e-10
9.120108393559097	3.857221018407329e-10	2.3028331155352875e-10	3.36518368331769e-10	2.3028331155352875e-10
9.772372209558107	4.133598058539356e-10	2.302800174361425e-10	3.5738161841917254e-10	2.302800174361425e-10
10.471285480508996	4.429794416010367e-10	2.3027687869969685e-10	3.793276662595329e-10	2.3027687869969685e-10
11.220184543019634	4.747234438854939e-10	2.3027386875564643e-10	4.0238640249831735e-10	2.3027386875564643e-10
12.022644346174129	5.087446508477085e-10	2.3027096564737756e-10	4.265853041033083e-10	2.3027096564737756e-10
12.88249551693134	5.452070895588924e-10	2.3026815154436363e-10	4.519489809196619e-10	2.3026815154436363e-10
13.803842646028848	5.842868297709452e-10	2.3026541231384136e-10	4.78498702995548e-10	2.3026541231384136e-10
14.791083881682074	6.261729098395589e-10	2.3026273715585136e-10	5.062519137687946e-10	2.3026273715585136e-10
15.848931924611136	6.71068346416684e-10	2.302601182879493e-10	5.352217351619234e-10	2.302601182879493e-10
16.982436524617444	7.191912357574568e-10	2.3025755066855201e-10	5.654164726766299e-10	2.3025755066855201e-10
18.197008586099834	7.707759580850266e-10	2.302550317490393e-10	5.968391276068248e-10	2.302550317490393e-10
19.49844599758045	8.26074498158694e-10	2.3025256124563346e-10	6.294869265088025e-10	2.3025256124563346e-10
20.892961308540396	8.853578973513412e-10	2.302501409253986e-10	6.633508789423996e-10	2.302501409253986e-10
22.387211385683393	9.489178558988975e-10	2.302477743977022e-10	6.984153729414484e-10	2.302477743977022e-10
23.988329190194904	1.0170685071274409e-9	2.3024546690821783e-10	7.346578210816375e-10	2.3024546690821783e-10
25.703957827688633	1.0901483896120997e-9	2.3024322512995175e-10	7.720483676882828e-10	2.3024322512995175e-10
27.542287033381662	1.1685226496344005e-9	2.3024105694824497e-10	8.10549669121777e-10	2.3024105694824497e-10
29.512092266663856	1.2525855122812096e-9	2.3023897123852733e-10	8.501167582210819e-10	2.3023897123852733e-10
31.622776601683796	1.3427630688405337e-9	2.3023697763447468e-10	8.906970015542049e-10	2.3023697763447468e-10
33.884415613920254	1.4395164392167913e-9	2.302350862876186e-10	9.322301592867076e-10	2.302350862876186e-10
36.30780547701014	1.5433453822024852e-9	2.3023330761917438e-10	9.746485530789541e-10	2.3023330761917438e-10
38.90451449942806	1.6547924456246767e-9	2.302316520664015e-10	1.0178773465852063e-9	2.302316520664015e-10
41.68693834703354	1.774447772879426e-9	2.3023012982563056e-10	1.0618349406963594e-9	2.3023012982563056e-10
44.66835921509632	1.9029547159352794e-9	2.302287505978734e-10	1.1064334811135663e-9	2.302287505978734e-10
47.86300923226384	2.0410164511875135e-9	2.3022752333950226e-10	1.1515794753471238e-9	2.3022752333950226e-10
51.28613839913648	2.18940386061635e-9	2.3022645602413668e-10	1.1971745109926994e-9	2.3022645602413668e-10
54.954087385762456	2.3489650395463893e-9	2.3022555542157106e-10	1.2431160651505718e-9	2.3022555542157106e-10
58.8843655355589	2.520636950105023e-9	2.3022482689760236e-10	1.2892983919095991e-9	2.3022482689760236e-10
63.095734448019336	2.7054600131744943e-9	2.3022427424134812e-10	1.335613472299331e-9	2.3022427424134812e-10
67.60829753919818	2.904596963955227e-9	2.3022389952353643e-10	1.3819520089964265e-9	2.3022389952353643e-10
72.44359600749901	3.119358487989142e-9	2.3022370299021392e-10	1.4282044467540941e-9	2.3022370299021392e-10
77.62471166286917	3.3512413229317392e-9	2.3022368299420337e-10	1.4742619985377906e-9	2.3022368299420337e-10
83.17637711026711	3.6019948864848306e-9	2.3022383596607236e-10	1.520017657151476e-9	2.3022383596607236e-10
89.12509381337455	3.8737770414718354e-9	2.302241564252469e-10	1.5653671727137126e-9	2.302241564252469e-10
95.49925860214358	4.1697484907470836e-9	2.3022463703022923e-10	1.6102099773601623e-9	2.3022463703022923e-10
102.32929922807541	4.500063424858349e-9	2.3022526866554494e-10	1.6544500403026013e-9	2.3022526866554494e-10
109.64781961431851	-	2.3022604056266025e-10	1.6979966385094181e-9	2.3022604056266025e-10
117.48975549395296	-	2.3022694045019003e-10	1.7407650311100902e-9	2.3022694045019003e-10
125.89254117941672	-	2.302279547285116e-10	1.7826770282325792e-9	2.302279547285116e-10
134.89628825916535	-	2.3022906866327547e-10	1.8236614483365538e-9	2.3022906866327547e-10
144.54397707459273	-	2.302302665915708e-10	1.8636544609616515e-9	2.302302665915708e-10
154.88166189124814	-	2.3023153213525876e-10	1.902599814881038e-9	2.3023153213525876e-10
165.95869074375605	-	2.3023284841534815e-10	1.9404489545080247e-9	2.3023284841534815e-10
177.82794100389228	-	2.3023419826208845e-10	1.9771610296988348e-9	2.3023419826208845e-10
190.54607179632472	-	2.3023556441640497e-10	2.0127028064163374e-9	2.3023556441640497e-10
204.17379446695293	-	2.3023692971788677e-10	2.047048487267308e-9	2.3023692971788677e-10
218.77616239495526	-	2.3023827727693333e-10	2.0801794523458523e-9	2.3023827727693333e-10
234.4228815319922	-	2.3023959062812888e-10	2.1120839315436397e-9	2.3023959062812888e-10
251.188643150958	-	2.3024085386309449e-10	2.1427566200534024e-9	2.3024085386309449e-10
269.15348039269156	-	2.302420517428626e-10	2.17219824872851e-9	2.302420517428626e-10
288.4031503126606	-	2.30243169788961e-10	2.2004151208179426e-9	2.30243169788961e-10
309.02954325135903	-	2.3024419435418788e-10	2.2274186259329664e-9	2.3024419435418788e-10
331.13112148259114	-	2.3024511267435752e-10	2.253224741394939e-9	2.3024511267435752e-10
354.8133892335755	-	2.302459129023274e-10	2.2778535301319996e-9	2.302459129023274e-10
380.1893963205612	-	2.3024658412648718e-10	2.3013286432531567e-9	2.3024658412648718e-10
407.3802778041127	-	2.302471163757958e-10	2.3236768343039052e-9	2.302471163757958e-10
436.515832240166	-	2.3024750061343498e-10	2.3449274910272465e-9	2.3024750061343498e-10
467.73514128719825	-	2.3024772872144624e-10	2.3651121894209764e-9	2.3024772872144624e-10
501.1872336272722	-	2.3024779347879183e-10	2.384264273695262e-9	2.3024779347879183e-10
537.0317963702527	-	2.3024768853435476e-10	2.402418464855618e-9	2.3024768853435476e-10
575.439937337157	-	2.3024740837811608e-10	2.419610499663379e-9	2.3024740837811608e-10
616.5950018614822	-	2.3024694830927022e-10	2.4358768009141606e-9	2.3024694830927022e-10
660.693448007596	-	2.3024630440508138e-10	2.451254179332586e-9	2.3024630440508138e-10
707.9457843841378	-	2.3024547349424866e-10	2.4657795667640964e-9	2.3024547349424866e-10
758.5775750291838	-	2.3024445312988168e-10	2.4794897798433576e-9	2.3024445312988168e-10
812.8305161640993	-	2.3024324156686672e-10	2.4924213129620537e-9	2.3024324156686672e-10
870.9635899560805	-	2.3024183774291336e-10	2.504610159034829e-9	2.3024183774291336e-10
933.2543007969911	-	2.3024024126412603e-10	2.516091656386578e-9	2.3024024126412603e-10
1000.	-	2.302384523941703e-10	2.5269003598968654e-9	2.302384523941703e-10
